,Algorithm,n,time
0,STAR-SHAP (n-STAR),2,0.1300208568572998
1,SHAP,2,2.716254234313965
2,Kernel SHAP,2,1.3069264888763428
3,Unbiased Kernel SHAP,2,1.3190767765045166
4,SHAP-IQ,2,1.307487964630127
5,STAR-SHAP (n-STAR),3,0.24397563934326172
6,SHAP,3,0.08546137809753418
7,Kernel SHAP,3,1.3690664768218994
8,Unbiased Kernel SHAP,3,1.3652293682098389
9,SHAP-IQ,3,1.3648107051849365
10,STAR-SHAP (n-STAR),4,0.4703385829925537
11,SHAP,4,0.0932912826538086
12,Kernel SHAP,4,1.4871258735656738
13,Unbiased Kernel SHAP,4,1.4724147319793701
14,SHAP-IQ,4,1.4650869369506836
15,STAR-SHAP (n-STAR),5,0.952387809753418
16,STAR-SHAP (5-STAR),5,0.9563288688659668
17,SHAP,5,0.11229872703552246
18,Kernel SHAP,5,1.6996190547943115
19,Unbiased Kernel SHAP,5,1.6720125675201416
20,SHAP-IQ,5,1.6633546352386475
21,STAR-SHAP (n-STAR),6,1.8647398948669434
22,STAR-SHAP (5-STAR),6,1.359421968460083
23,SHAP,6,0.14681601524353027
24,Kernel SHAP,6,2.2106921672821045
25,Unbiased Kernel SHAP,6,2.1169826984405518
26,SHAP-IQ,6,2.127490758895874
27,STAR-SHAP (n-STAR),7,3.7936036586761475
28,STAR-SHAP (5-STAR),7,2.3562216758728027
29,SHAP,7,0.21239256858825684
30,Kernel SHAP,7,2.7069408893585205
31,Unbiased Kernel SHAP,7,2.603424549102783
32,SHAP-IQ,7,2.611097574234009
33,STAR-SHAP (n-STAR),8,7.752469301223755
34,STAR-SHAP (5-STAR),8,3.5340993404388428
35,SHAP,8,0.3803751468658447
36,Kernel SHAP,8,3.00127911567688
37,Unbiased Kernel SHAP,8,2.8795011043548584
38,SHAP-IQ,8,2.8936104774475098
39,STAR-SHAP (n-STAR),9,15.772260427474976
40,STAR-SHAP (5-STAR),9,4.243266820907593
41,SHAP,9,0.6546239852905273
42,Kernel SHAP,9,3.128894329071045
43,Unbiased Kernel SHAP,9,3.0346860885620117
44,SHAP-IQ,9,3.046715497970581
45,STAR-SHAP (n-STAR),10,31.896183252334595
46,STAR-SHAP (5-STAR),10,4.727945327758789
47,SHAP,10,1.1730799674987793
48,Kernel SHAP,10,3.3051276206970215
49,Unbiased Kernel SHAP,10,3.1635756492614746
50,SHAP-IQ,10,3.1748099327087402
51,STAR-SHAP (5-STAR),11,4.551700592041016
52,SHAP,11,2.2747559547424316
53,Kernel SHAP,11,3.242774248123169
54,Unbiased Kernel SHAP,11,3.092290163040161
55,SHAP-IQ,11,3.096160650253296
56,STAR-SHAP (5-STAR),12,4.646362781524658
57,SHAP,12,7.225337982177734
58,Kernel SHAP,12,3.396138906478882
59,Unbiased Kernel SHAP,12,3.2715225219726562
60,SHAP-IQ,12,3.2455878257751465
61,STAR-SHAP (5-STAR),13,4.875014781951904
62,SHAP,13,22.303643226623535
63,Kernel SHAP,13,3.4537863731384277
64,Unbiased Kernel SHAP,13,3.2942018508911133
65,SHAP-IQ,13,3.2863354682922363
66,STAR-SHAP (5-STAR),14,4.840874433517456
67,SHAP,14,46.39147067070007
68,Kernel SHAP,14,3.4592554569244385
69,Unbiased Kernel SHAP,14,3.290558099746704
70,SHAP-IQ,14,3.2708919048309326
71,STAR-SHAP (5-STAR),15,4.756953477859497
72,Kernel SHAP,15,3.4043262004852295
73,Unbiased Kernel SHAP,15,3.230670213699341
74,SHAP-IQ,15,3.2308568954467773
75,STAR-SHAP (5-STAR),16,4.841027736663818
76,Kernel SHAP,16,3.481912136077881
77,Unbiased Kernel SHAP,16,3.2925894260406494
78,SHAP-IQ,16,3.2915139198303223
79,STAR-SHAP (5-STAR),17,4.860709190368652
80,Kernel SHAP,17,3.4821972846984863
81,Unbiased Kernel SHAP,17,3.2994768619537354
82,SHAP-IQ,17,3.2695751190185547
83,STAR-SHAP (5-STAR),18,4.889647722244263
84,Kernel SHAP,18,5.630237102508545
85,Unbiased Kernel SHAP,18,3.306648015975952
86,SHAP-IQ,18,3.2636330127716064
87,STAR-SHAP (5-STAR),19,4.881936550140381
88,Kernel SHAP,19,5.584191083908081
89,Unbiased Kernel SHAP,19,3.345202922821045
90,SHAP-IQ,19,3.3215172290802
91,STAR-SHAP (5-STAR),20,4.894943952560425
92,Kernel SHAP,20,5.660489559173584
93,Unbiased Kernel SHAP,20,3.4016575813293457
94,SHAP-IQ,20,3.3487703800201416
95,STAR-SHAP (5-STAR),70,5.184701919555664
96,Kernel SHAP,70,7.309542417526245
97,Unbiased Kernel SHAP,70,3.677121639251709
98,SHAP-IQ,70,3.641176700592041
99,STAR-SHAP (5-STAR),120,5.160320043563843
100,Kernel SHAP,120,14.466663360595703
101,Unbiased Kernel SHAP,120,4.107987880706787
102,SHAP-IQ,120,4.074960708618164
103,STAR-SHAP (5-STAR),170,5.2758777141571045
104,Kernel SHAP,170,20.497930765151978
105,Unbiased Kernel SHAP,170,4.591514825820923
106,SHAP-IQ,170,4.56730055809021
107,STAR-SHAP (5-STAR),220,5.434492826461792
108,Kernel SHAP,220,29.09467577934265
109,Unbiased Kernel SHAP,220,5.010614395141602
110,SHAP-IQ,220,4.985631465911865
111,STAR-SHAP (5-STAR),270,5.534551620483398
112,Kernel SHAP,270,32.588451862335205
113,Unbiased Kernel SHAP,270,5.572569370269775
114,SHAP-IQ,270,5.472441673278809
115,STAR-SHAP (5-STAR),320,5.676224231719971
116,Kernel SHAP,320,43.954593896865845
117,Unbiased Kernel SHAP,320,6.106345891952515
118,SHAP-IQ,320,6.096646547317505
119,STAR-SHAP (5-STAR),370,5.747241258621216
120,Kernel SHAP,370,47.34815549850464
121,Unbiased Kernel SHAP,370,6.748490571975708
122,SHAP-IQ,370,6.7049853801727295
123,STAR-SHAP (5-STAR),420,5.954405307769775
124,Kernel SHAP,420,40.703470945358276
125,Unbiased Kernel SHAP,420,7.352334022521973
126,SHAP-IQ,420,7.381508827209473
127,STAR-SHAP (5-STAR),470,6.027345180511475
128,Kernel SHAP,470,50.2685022354126
129,Unbiased Kernel SHAP,470,8.06110429763794
130,SHAP-IQ,470,8.063649654388428
131,STAR-SHAP (5-STAR),520,6.093097925186157
132,Kernel SHAP,520,56.19493818283081
133,Unbiased Kernel SHAP,520,8.834504127502441
134,SHAP-IQ,520,8.85532832145691
135,STAR-SHAP (5-STAR),570,6.168091535568237
136,Kernel SHAP,570,54.05940651893616
137,Unbiased Kernel SHAP,570,9.728358745574951
138,SHAP-IQ,570,9.649987697601318
139,STAR-SHAP (5-STAR),620,6.246528148651123
140,Kernel SHAP,620,49.331599712371826
141,Unbiased Kernel SHAP,620,10.519166469573975
142,SHAP-IQ,620,10.465744972229004
143,STAR-SHAP (5-STAR),670,6.3584699630737305
144,Kernel SHAP,670,54.43889307975769
145,Unbiased Kernel SHAP,670,11.300828456878662
146,SHAP-IQ,670,11.295117139816284
147,STAR-SHAP (5-STAR),720,6.391779184341431
148,Kernel SHAP,720,52.95607805252075
149,Unbiased Kernel SHAP,720,12.309909582138062
150,SHAP-IQ,720,12.278719425201416
151,STAR-SHAP (5-STAR),770,6.529256582260132
152,Kernel SHAP,770,56.79045224189758
153,Unbiased Kernel SHAP,770,13.242568492889404
154,SHAP-IQ,770,13.209588766098022
155,STAR-SHAP (5-STAR),820,6.651968002319336
156,Kernel SHAP,820,53.805845975875854
157,Unbiased Kernel SHAP,820,14.063899040222168
158,SHAP-IQ,820,14.133154153823853
159,STAR-SHAP (5-STAR),870,6.627421855926514
160,Kernel SHAP,870,57.456355810165405
161,Unbiased Kernel SHAP,870,15.230878591537476
162,SHAP-IQ,870,15.189519166946411
163,STAR-SHAP (5-STAR),920,6.725240230560303
164,Kernel SHAP,920,54.2318332195282
165,Unbiased Kernel SHAP,920,16.437560319900513
166,SHAP-IQ,920,16.291173696517944
167,STAR-SHAP (5-STAR),970,6.875815153121948
168,Kernel SHAP,970,62.140841007232666
169,Unbiased Kernel SHAP,970,17.329339504241943
170,SHAP-IQ,970,17.36400055885315
171,STAR-SHAP (5-STAR),1020,6.908957242965698
172,Kernel SHAP,1020,70.54204607009888
173,Unbiased Kernel SHAP,1020,18.63260555267334
174,SHAP-IQ,1020,18.621848106384277
175,STAR-SHAP (n-STAR),2,0.13387274742126465
176,SHAP,2,0.07747054100036621
177,Kernel SHAP,2,1.3299560546875
178,Unbiased Kernel SHAP,2,1.322171926498413
179,SHAP-IQ,2,1.303877830505371
180,STAR-SHAP (n-STAR),3,0.2499217987060547
181,SHAP,3,0.08455109596252441
182,Kernel SHAP,3,1.3746626377105713
183,Unbiased Kernel SHAP,3,1.3679172992706299
184,SHAP-IQ,3,1.3762907981872559
185,STAR-SHAP (n-STAR),4,0.4767768383026123
186,SHAP,4,0.09313082695007324
187,Kernel SHAP,4,1.513765811920166
188,Unbiased Kernel SHAP,4,1.5047557353973389
189,SHAP-IQ,4,1.4830570220947266
190,STAR-SHAP (n-STAR),5,0.9365472793579102
191,STAR-SHAP (5-STAR),5,0.9482631683349609
192,SHAP,5,0.10994935035705566
193,Kernel SHAP,5,1.7218067646026611
194,Unbiased Kernel SHAP,5,1.691915512084961
195,SHAP-IQ,5,1.6858038902282715
196,STAR-SHAP (n-STAR),6,1.8888158798217773
197,STAR-SHAP (5-STAR),6,1.364542007446289
198,SHAP,6,0.14554619789123535
199,Kernel SHAP,6,2.2299153804779053
200,Unbiased Kernel SHAP,6,2.138010025024414
201,SHAP-IQ,6,2.1665167808532715
202,STAR-SHAP (n-STAR),7,3.8424651622772217
203,STAR-SHAP (5-STAR),7,2.3186252117156982
204,SHAP,7,0.207841157913208
205,Kernel SHAP,7,2.7512733936309814
206,Unbiased Kernel SHAP,7,2.6710638999938965
207,SHAP-IQ,7,2.657404899597168
208,STAR-SHAP (n-STAR),8,7.77738618850708
209,STAR-SHAP (5-STAR),8,3.488546371459961
210,SHAP,8,0.3803112506866455
211,Kernel SHAP,8,3.023597478866577
212,Unbiased Kernel SHAP,8,2.9323158264160156
213,SHAP-IQ,8,2.9239132404327393
214,STAR-SHAP (n-STAR),9,15.891589641571045
215,STAR-SHAP (5-STAR),9,4.184713363647461
216,SHAP,9,0.6495819091796875
217,Kernel SHAP,9,3.201136827468872
218,Unbiased Kernel SHAP,9,3.0749659538269043
219,SHAP-IQ,9,3.0948221683502197
220,STAR-SHAP (n-STAR),10,32.46176791191101
221,STAR-SHAP (5-STAR),10,4.578746795654297
222,SHAP,10,1.176717758178711
223,Kernel SHAP,10,3.3281733989715576
224,Unbiased Kernel SHAP,10,3.2105212211608887
225,SHAP-IQ,10,3.19877552986145
226,STAR-SHAP (5-STAR),11,4.458299875259399
227,SHAP,11,2.276427984237671
228,Kernel SHAP,11,3.2660610675811768
229,Unbiased Kernel SHAP,11,3.127568006515503
230,SHAP-IQ,11,3.114748239517212
231,STAR-SHAP (5-STAR),12,4.615159034729004
232,SHAP,12,6.921373605728149
233,Kernel SHAP,12,3.4085137844085693
234,Unbiased Kernel SHAP,12,3.2481303215026855
235,SHAP-IQ,12,3.2514476776123047
236,STAR-SHAP (5-STAR),13,4.7582948207855225
237,SHAP,13,21.784316778182983
238,Kernel SHAP,13,3.423510789871216
239,Unbiased Kernel SHAP,13,3.2983524799346924
240,SHAP-IQ,13,3.2768349647521973
241,STAR-SHAP (5-STAR),14,4.7800586223602295
242,SHAP,14,46.31932806968689
243,Kernel SHAP,14,3.4236180782318115
244,Unbiased Kernel SHAP,14,3.2502193450927734
245,SHAP-IQ,14,3.244598150253296
246,STAR-SHAP (5-STAR),15,4.710939645767212
247,Kernel SHAP,15,3.451054811477661
248,Unbiased Kernel SHAP,15,3.2639899253845215
249,SHAP-IQ,15,3.258759021759033
250,STAR-SHAP (5-STAR),16,4.768781423568726
251,Kernel SHAP,16,3.4397501945495605
252,Unbiased Kernel SHAP,16,3.2402451038360596
253,SHAP-IQ,16,3.2398879528045654
254,STAR-SHAP (5-STAR),17,4.7688493728637695
255,Kernel SHAP,17,3.46606183052063
256,Unbiased Kernel SHAP,17,3.270777940750122
